Latitude,Longitude,Well Type
33.018178,-115.519865,INJ
33.008595,-115.525526,INJ
33.015173,-115.531523,INJ
,,DWT
,,DWT
,,DWT
33.018747,-115.539827,INJ
,,DWT
,,DWT
,,DWT
,,DWT
,,DWT
,,DWT
,,DWT
,,DWT
,,DWT
33.026136,-115.529752,DWT
33.018663,-115.505097,DWT
33.030492,-115.55302,EWT
33.015176,-115.529999,DWT
33.015175,-115.529854,INJ
33.015178,-115.530146,INJ
33.015177,-115.530293,DWT
33.016117,-115.552162,EWT
33.014904,-115.501261,DWT
33.014682,-115.530614,DWT
33.014682,-115.53047,DWT
33.015072,-115.530439,DWT
33.015276,-115.545077,TG 
33.008537,-115.543768,TG 
32.994957,-115.538257,TG 
,,TG 
33.001934,-115.534269,TG 
33.003754,-115.524475,TG 
33.011436,-115.522788,TG 
33.015273,-115.518538,TG 
,,TG 
,,TG 
,,TG 
,,TG 
33.00488,-115.517231,TG 
33.001246,-115.561316,TG 
33.014894,-115.555968,TG 
33.036538,-115.499395,TG 
33.01593,-115.492085,TG 
32.999847,-115.527631,TG 
33.022612,-115.551835,TG 
33.029224,-115.544529,TG 
33.039513,-115.527391,TG 
33.030647,-115.523048,TG 
33.027233,-115.509108,TG 
33.020502,-115.512144,TG 
33.041036,-115.535132,TG 
33.041023,-115.552208,TG 
33.029337,-115.556896,TG 
33.023113,-115.535793,TG 
33.015103,-115.531237,TG 
33.015153,-115.543162,TG 
33.001281,-115.544534,TG 
33.007705,-115.525508,TG 
33.00785,-115.50856,TG 
33.019522,-115.513682,TG 
32.868402,-115.595941,TG 
33.01142,-115.543249,DWT
33.008978,-115.535711,INJ
33.008933,-115.527341,DWT
33.029241,-115.534723,INJ
33.024164,-115.525578,INJ
33.029181,-115.524022,INJ
33.029368,-115.534795,INJ
33.022099,-115.528652,DWT
33.029295,-115.534743,INJ
33.014909,-115.546848,INJ
33.018585,-115.527426,DWT
33.026209,-115.527706,DWT
33.014897,-115.546676,INJ
33.01218,-115.5319,DWT
33.013474,-115.539983,INJ
33.014733,-115.523583,INJ
33.019697,-115.536069,DWT
33.014735,-115.539041,DWT
33.012461,-115.527485,DWT
33.014725,-115.523679,INJ
33.025836,-115.508494,INJ
33.018577,-115.508617,INJ
33.014838,-115.533237,INJ
33.005147,-115.53207,INJ
,,INJ
33.014821,-115.546728,INJ
33.011275,-115.537803,DWT
33.005046,-115.531954,INJ
33.018537,-115.540285,INJ
33.022288,-115.534763,DWT
33.014548,-115.519358,INJ
33.004984,-115.532052,INJ
33.019609,-115.517956,DWT
33.01951,-115.536286,INJ
33.018622,-115.508552,INJ
33.022474,-115.534492,INJ
33.025707,-115.534845,INJ
33.025901,-115.508579,INJ
33.016204,-115.515326,DWT
33.015136,-115.533255,INJ
33.014609,-115.53713,INJ
33.008028,-115.512503,OBS
33.007922,-115.512469,DWT
33.005136,-115.514035,DWT
33.011429,-115.543261,DWT
